id,CI
"[221613634, 633157139, 153265258, 153265295]",0.3008333333333334
"[300803443, 27768571]",0.6022357723577235
766072320,0.8097222222222222
155339895,0.3598290598290599
"[150573915, 882599876, 150557341]",0.3943955399061032
"[124812306, 124812309, 124812302]",0.6124999999999999
690627782,0.6788922155688623
"[154579644, 356814102, 356814119]",0.3833333333333333
"[200592896, 626601866, 626601867, 657770223, 140637404, 706938941, 200592894]",0.3710451977401129
"[720474553, 720474554, 178872820, 156771530]",0.5855
"[824816483, 824816484, 824816485]",0.7650000000000002
709146662,0.51875
"[324162448, 324162459, 324162430]",0.15625
230328194,0.8614535768645358
462071018,0.91122
462463535,0.89613018134715
"[746408864, 746408891, 746408862]",0.5972560975609756
"[853581840, 853581841, 721779879]",0.7196969696969696
"[124809650, 151682727]",0.5754310344827587
221135071,0.8309514331210193
155339887,0.44957805907173
"[664342992, 103927697, 103927691]",0.22
"[808017401, 153751418, 808017397]",0.625
153751421,0.4321261682242991
156771536,0.5939102564102565
"[32097908, 32097887, 32097991]",0.5791666666666666
"[684694017, 684694019, 453720875, 453720876, 454182959, 490276954, 722562846, 722562847]",0.482312925170068
"[150571824, 32046626]",0.8526143790849673
"[156763650, 156763618]",0.6317164179104479
"[361071489, 622540258]",0.466304347826087
150571866,0.7872395833333333
"[151682713, 138367146, 139497771]",0.3339285714285714
156672771,0.5986271676300579
"[199388265, 692141509]",0.6223214285714286
754450759,0.4597222222222222
"[355761156, 771592249, 29995929, 771592251, 150283743]",0.6307981927710844
"[784943753, 784943754, 784943755, 784943756, 615459731, 159384149]",0.7916884816753927
154774019,0.5525252525252524
"[853430088, 630496717, 630496719]",0.17375
175282303,0.4944444444444444
"[174079386, 174079387, 300803438]",0.6451086956521739
105213133,0.5802777777777779
"[690627782, 482209160, 851497546, 837411087, 837411088, 898257021, 685773822]",0.6623299319727892
139497770,0.3130208333333333
"[855257641, 855257642, 857014955, 858401260, 858401261, 858401264, 858401265, 855257656, 855257657]",0.5955357142857144
"[19737435, 90534374]",0.8285087719298244
156261347,0.5462499999999999
"[29995725, 29995863, 154579824, 627064850, 627064851, 356814103, 29995865]",0.8308880308880308
863729996,0.6971153846153846
835519368,0.4641233766233766
194709070,0.2151515151515151
"[150283749, 29995854, 29995863]",0.3578347578347577
"[300803457, 207441218]",0.5874289772727272
"[159520482, 32024971, 32008524]",0.6062500000000001
105219454,0.6466188524590163
"[25715010, 25715012, 715220821]",0.5881329113924051
"[453635648, 766072321, 766072324, 722659600, 722659603, 452425406]",0.6455662393162394
"[453692577, 453686498, 453683947, 453685553, 453685554, 150890453, 453685084]",0.6565868263473055
883802362,0.3732142857142856
"[636806016, 636806017, 637093291]",0.5474537037037037
806664809,0.482142857142857
25775998,0.4271929824561404
"[625021065, 625021066, 848753425, 465100587, 465100588, 465100589, 465100590, 465100591, 465100592, 465100593, 465100594, 465100595, 465100597, 465100598, 465100599, 465100601, 465100602, 465100603, 710885203, 710885204, 864237309]",0.5353535353535354
"[406005633, 406005638, 730920874, 835280917, 835280918]",0.6234615384615384
"[32089857, 32089853, 32089854]",0.4779761904761904
686086035,0.225
"[685792064, 96065625, 139500567]",0.8779166666666668
630387941,0.5315315315315315
"[156591273, 156591249, 836466778, 836466779]",0.4678861788617885
141590953,0.3732954545454545
462071019,0.6273936170212766
